supermarket,name,price,original_price,brand,barcode,image_url,url,description,category
Tienda Inglesa,Queso Muzzarella CONAPROLE (Kg),540.0,$ 540,Conaprole,,"https://prod-resize.tiendainglesa.com.uy/images/small/P097368-2.jpg?20220214120101,Queso-Muzzarella-CONAPROLE-Kg-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/queso-muzzarella-conaprole-kg.producto?1097368,,42&campaign=page_not_found",,Category 1
Tienda Inglesa,Leche UHT Descremada TIENDA INGLESA Larga Vida 1 L,74.0,$ 74,Leche,,"https://prod-resize.tiendainglesa.com.uy/images/small/P021685-1.jpg?20230315144028,Leche-UHT-Descremada-TIENDA-INGLESA-Larga-Vida-1-L-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/leche-uht-descremada-tienda-inglesa-larga-vida-1-l.producto?1944,,42&campaign=page_not_found",,Category 1
Tienda Inglesa,Manteca Extra sin Sal TIENDA INGLESA 200 gr,99.0,$ 99,Manteca,,https://prod-resize.tiendainglesa.com.uy/Ico/ico_sin_gluten_m.png,"https://www.tiendainglesa.com.uy/supermercado/manteca-extra-sin-sal-tienda-inglesa-200-gr.producto?7795,,42&campaign=page_not_found",,Category 1
