supermarket,name,price,image_url,url,barcode
Tienda Inglesa,Dulce de Leche CONAPROLE Clásico 500 gr,136.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P014587-1.jpg?20220705194926,Dulce-de-Leche-CONAPROLE-Clasico-500-gr-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/dulce-de-leche-conaprole-clasico-500-gr.producto?1048,,42",7730105005114
Tienda Inglesa,Galleta Obleas Rellenas sabor Chocolate TIENDA INGLESA 140 gr,71.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P500770-1.jpg?20220705195356,Galleta-Obleas-Rellenas-sabor-Chocolate-TIENDA-INGLESA-140-gr-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/galleta-obleas-rellenas-sabor-chocolate-tienda-inglesa-140-gr.producto?419142,,42",7730127007752
Tienda Inglesa,Salsa de Tomate GOURMET Napolitana 1030 g    Antes,79.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P029856-1.jpg?20210310195259,Salsa-de-Tomate-GOURMET-Napolitana-1030-g-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/salsa-de-tomate-gourmet-napolitana-1030-g.producto?3111,,42",7730306000031
Tienda Inglesa,Galleta de Arroz Integral con Sal TIENDA INGLESA 150 gr,46.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P531222-2.jpg?20220729163411,Galleta-de-Arroz-Integral-con-Sal-TIENDA-INGLESA-150-gr-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/galleta-de-arroz-integral-con-sal-tienda-inglesa-150-gr.producto?1531222,,42",7730127012022
Tienda Inglesa,Papas Fritas LAY'S Stax sabor Original 163 g    Antes,169.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P182482-2.jpg?20231205091554,Papas-Fritas-LAY%27S-Stax-sabor-Original-163-g-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/papas-fritas-lays-stax-sabor-original-163-g.producto?53931,,42",028400055093
Tienda Inglesa,Fideos Spaghetti TIENDA INGLESA 500 gr,103.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P494254-1.jpg?20210402160101,Fideos-Spaghetti-TIENDA-INGLESA-500-gr-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/fideos-spaghetti-tienda-inglesa-500-gr.producto?414448,,42",7730127007790
Tienda Inglesa,Aceite de Canola OPTIMO 900 ml,107.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P403987-1.jpg?20170830115938,Aceite-de-Canola-OPTIMO-900-ml-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/aceite-de-canola-optimo-900-ml.producto?330536,,42",7730132001592
Tienda Inglesa,Arroz Integral SAMAN 1 Kg,82.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P001654-1.jpg?20170830115412,Arroz-Integral-SAMAN-1-Kg-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/arroz-integral-saman-1-kg.producto?711,,42",7730115050104
Tienda Inglesa,Vainillas BIMBO 480g,203.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P416806-2.jpg?20251013110144,Vainillas-BIMBO-480g-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/vainillas-bimbo-480g.producto?343223,,42",7793890252798
Tienda Inglesa,Galletas María TIENDA INGLESA Tripack 300 gr,80.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P581969-1.jpg?20240816160106,Galletas-Maria-TIENDA-INGLESA-Tripack-300-gr-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/galletas-maria-tienda-inglesa-tripack-300-gr.producto?1581969,,42",7730127014378
Tienda Inglesa,Chocolate con Leche MILKA 150 gr,146.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P388151-1.jpg?20250916120712,Chocolate-con-Leche-MILKA-150-gr-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/chocolate-con-leche-milka-150-gr.producto?314563,,42",7622300990114
Tienda Inglesa,Café Instantáneo BRACAFÉ 12 Sobres,70.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P332817-2.jpg?20250421085826,Cafe-Instantaneo-BRACAF-12-Sobres-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/cafe-instantaneo-bracafe-12-sobres.producto?261428,,42",7613034483034
Tienda Inglesa,Huevo Blanco PRODHIN Pack 15 Unidades,279.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P041801-1.jpg?20210520095222,Huevo-Blanco-PRODHIN-Pack-15-Unidades-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/huevo-blanco-prodhin-pack-15-unidades.producto?5039,,42",7730239000016
Tienda Inglesa,Galleta LA CELESTINA Finitas sin Sal 300 gr,97.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P133336-1.jpg?20191129095210,Galleta-LA-CELESTINA-Finitas-sin-Sal-300-gr-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/galleta-la-celestina-finitas-sin-sal-300-gr.producto?8875,,42",7730172275168
Tienda Inglesa,Pulpa de Tomate DE LEY Tamizada 1.020 Kg    Antes,57.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P100622-1.jpg?20170830115510,Pulpa-de-Tomate-DE-LEY-Tamizada-1.020-Kg-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/pulpa-de-tomate-de-ley-tamizada-1.020-kg.producto?7032,,42",7730306000604
Tienda Inglesa,Papas Fritas Clásicas LAY'S 150 gr,182.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P402812-2.jpg?20250901111853,Papas-Fritas-Clasicas-LAY%27S-150-gr-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/papas-fritas-clasicas-lays-150-gr.producto?329252,,42",7790310922316
Tienda Inglesa,Mayonesa Light HELLMANN'S Doypack 950 g    Antes,177.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P091214-1.jpg?20231227100014,Mayonesa-Light-HELLMANN%27S-Doypack-950-g-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/mayonesa-light-hellmanns-doypack-950-g.producto?6736,,42",7794000006416
Tienda Inglesa,Fideos Tirabuzón TIENDA INGLESA 500 gr,103.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P494265-1.jpg?20240530180059,Fideos-Tirabuzon-TIENDA-INGLESA-500-gr-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/fideos-tirabuzon-tienda-inglesa-500-gr.producto?414456,,42",7730127007820
Tienda Inglesa,Levadura Seca FLEISCHMANN 100 gr,277.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P002648-2.jpg?20210222164331,Levadura-Seca-FLEISCHMANN-100-gr-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/levadura-seca-fleischmann-100-gr.producto?23619,,42",7730110120222
Tienda Inglesa,Dulce de Membrillo LOS NIETITOS (Kg)    Antes por kilo,131.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P011035-1.jpg?20220824200055,Dulce-de-Membrillo-LOS-NIETITOS-Kg-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/dulce-de-membrillo-los-nietitos-kg.producto?561,,42",2311035000001
Tienda Inglesa,Galleta 9 DE ORO Azucaradas 420 gr,67.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P440649-4.jpg?20251014124027,Galleta-9-DE-ORO-Azucaradas-420-gr-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/galleta-9-de-oro-azucaradas-420-gr.producto?364697,,42",7792200001125
Tienda Inglesa,Cocoa COPACABANA 500 gr,328.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P002578-1.jpg?20260210100427,Cocoa-COPACABANA-500-gr-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/cocoa-copacabana-500-gr.producto?23585,,42",7613035320710
Tienda Inglesa,Galletas HOGAREÑAS Mix de Cereales 528 gr,133.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P190454-1.jpg?20220705194926,Galletas-HOGAREnAS-Mix-de-Cereales-528-gr-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/galletas-hogarenas-mix-de-cereales-528-gr.producto?46964,,42",7790040126800
Tienda Inglesa,Galletas CHOCOLINAS Bagley 265 g,75.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P200041-3.jpg?20260121105741,Galletas-CHOCOLINAS-Bagley-265-g-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/galletas-chocolinas-bagley-265-g.producto?12511,,42",7790040111004
Tienda Inglesa,Galleta FAMOSA María Mini 300 gr,92.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P160714-1.jpg?20250916120712,Galleta-FAMOSA-Maria-Mini-300-gr-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/galleta-famosa-maria-mini-300-gr.producto?10175,,42",7730110000463
Tienda Inglesa,Galleta Lulu con Chantilly FAMOSA 115 gr,43.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P110852-1.jpg?20250916120712,Galleta-Lulu-con-Chantilly-FAMOSA-115-gr-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/galleta-lulu-con-chantilly-famosa-115-gr.producto?7698,,42",7730110331932
Tienda Inglesa,Puré de Tomate MUTTI Passata 700 g    Antes,159.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P280214-2.jpg?20250314134953,Pure-de-Tomate-MUTTI-Passata-700-g-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/pure-de-tomate-mutti-passata-700-g.producto?210784,,42",80042563
Tienda Inglesa,Lentejas LA ABUNDANCIA 450 g,109.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P001696-2.jpg?20250429124338,Lentejas-LA-ABUNDANCIA-450-g-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/lentejas-la-abundancia-450-g.producto?714,,42",7730195003366
Tienda Inglesa,Fideos Penne Rigate BARILLA 500 gr,159.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P066932-1.jpg?20250822170738,Fideos-Penne-Rigate-BARILLA-500-gr-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/fideos-penne-rigate-barilla-500-gr.producto?100510,,42",8076802085738
Tienda Inglesa,Mayonesa HELLMANN'S Tipo Casera 445 g    Antes,133.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P469934-1.jpg?20220930211951,Mayonesa-HELLMANN%27S-Tipo-Casera-445-g-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/mayonesa-hellmanns-tipo-casera-445-g.producto?391521,,42",7794000005143
Tienda Inglesa,Arroz SAMAN Don Ruggero Carnaroli 1 Kg,160.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P210785-1.jpg?20210520030030,Arroz-SAMAN-Don-Ruggero-Carnaroli-1-Kg-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/arroz-saman-don-ruggero-carnaroli-1-kg.producto?13435,,42",7730115000215
Tienda Inglesa,Alfajor de Nieve Pack PORTEZUELO x 6 Unidades,113.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P042924-1.jpg?20220425093012,Alfajor-de-Nieve-Pack-PORTEZUELO-x-6-Unidades-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/alfajor-de-nieve-pack-portezuelo-x-6-unidades.producto?5089,,42",7730236000453
Tienda Inglesa,Mermelada Dietética Sabor Durazno LOS NIETITOS Pote 400 gr,161.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P389478-2.jpg?20200116141039,Mermelada-Dietetica-Sabor-Durazno-LOS-NIETITOS-Pote-400-gr-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/mermelada-dietetica-sabor-durazno-los-nietitos-pote-400-gr.producto?315906,,42",7730124000602
Tienda Inglesa,Mayonesa HELLMANN'S Doypack 950 g    Antes,179.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P020675-1.jpg?20231227100014,Mayonesa-HELLMANN%27S-Doypack-950-g-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/mayonesa-hellmanns-doypack-950-g.producto?23628,,42",7794000004849
Tienda Inglesa,Café Instantáneo BRACAFÉ 170 g,399.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P003179-1.jpg?20210310195259,Cafe-Instantaneo-BRACAF-170-g-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/cafe-instantaneo-bracafe-170-g.producto?214,,42",7613035511590
Tienda Inglesa,Yerba TIENDA INGLESA 1 Kg    Antes,139.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P524116-1.jpg?20220518103419,Yerba-TIENDA-INGLESA-1-Kg-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/yerba-tienda-inglesa-1-kg.producto?1524116,,42",7730127010462
Tienda Inglesa,Aceite de Girasol VALLE DEL SOL 900 ml,93.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P495934-1.jpg?20210409103128,Aceite-de-Girasol-VALLE-DEL-SOL-900-ml-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/aceite-de-girasol-valle-del-sol-900-ml.producto?416081,,42",7730127007974
Tienda Inglesa,Galletas EL TRIGAL de Coco 200 gr,76.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P001520-1.jpg?20210423152203,Galletas-EL-TRIGAL-de-Coco-200-gr-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/galletas-el-trigal-de-coco-200-gr.producto?23524,,42",7730116113136
Tienda Inglesa,Té HORNIMANS x 50 Sobres    Antes,165.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P003023-1.jpg?20170830115412,Te-HORNIMANS-x-50-Sobres-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/te-hornimans-x-50-sobres.producto?1492,,42",7730261000022
Tienda Inglesa,Mayonesa HELLMANN'S Doypack 475 g    Antes,95.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P041542-1.jpg?20220930210420,Mayonesa-HELLMANN%27S-Doypack-475-g-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/mayonesa-hellmanns-doypack-475-g.producto?5029,,42",7794000004832
Tienda Inglesa,Tapas para Pascualina Redondas Tipo Casera AVANTI 350 gr    Antes,132.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P034313-2.jpg?20220228164757,Tapas-para-Pascualina-Redondas-Tipo-Casera-AVANTI-350-gr-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/tapas-para-pascualina-redondas-tipo-casera-avanti-350-gr.producto?3847,,42",7730927020494
Tienda Inglesa,Mayonesa URUGUAY 500 ml    Antes,83.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P456854-1.jpg?20240129130121,Mayonesa-URUGUAY-500-ml-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/mayonesa-uruguay-500-ml.producto?377978,,42",7730132000779
Tienda Inglesa,Huevos Colorados de Gallinas Alimentadas con Maíz Orgánico PRODHIN x 1...,348.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P447685-1.jpg?20200401142517,Huevos-Colorados-de-Gallinas-Alimentadas-con-Maiz-Organico-PRODHIN-x-12-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/huevos-colorados-de-gallinas-alimentadas-con-maiz-organico-prodhin-x-12.producto?368405,,42",7730239000511
Tienda Inglesa,Galletas Al Agua TIENDA INGLESA 430 gr,92.0,"https://prod-resize.tiendainglesa.com.uy/images/small/P142525-2.jpg?20260128125757,Galletas-Al-Agua-TIENDA-INGLESA-430-gr-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/galletas-al-agua-tienda-inglesa-430-gr.producto?9326,,42",7730127004454
