id,supermarket,name,price,original_price,brand,barcode,category,image_url,product_url,description,scraped_at
1,Tienda Inglesa,Queso Muzzarella CONAPROLE (Kg),540.0,$ 540,Conaprole,,lacteos,"https://prod-resize.tiendainglesa.com.uy/images/small/P097368-2.jpg?20220214120101,Queso-Muzzarella-CONAPROLE-Kg-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/queso-muzzarella-conaprole-kg.producto?1097368,,42&campaign=page_not_found",,2026-03-04 19:32:08
2,Tienda Inglesa,Leche UHT Descremada TIENDA INGLESA Larga Vida 1 L,74.0,$ 74,Leche,,lacteos,"https://prod-resize.tiendainglesa.com.uy/images/small/P021685-1.jpg?20230315144028,Leche-UHT-Descremada-TIENDA-INGLESA-Larga-Vida-1-L-en-Tienda-Inglesa","https://www.tiendainglesa.com.uy/supermercado/leche-uht-descremada-tienda-inglesa-larga-vida-1-l.producto?1944,,42&campaign=page_not_found",,2026-03-04 19:32:08
3,Disco,Dulce de leche COLONIAL 1 kg,169.0,"$
169
/ un.",,,lacteos,https://gdu-multimedia.azurewebsites.net/api/gdu/multimedia/cd6a809c-f4ce-4ee2-8dba-bc1c14ea60ff/content,https://www.disco.com.uy/#,,2026-03-04 19:32:08
4,Devoto,Dulce de leche COLONIAL 1 kg,169.0,"$
169
/ un.",,,lacteos,https://gdu-multimedia.azurewebsites.net/api/gdu/multimedia/cd6a809c-f4ce-4ee2-8dba-bc1c14ea60ff/content,https://www.devoto.com.uy/#,,2026-03-04 19:32:08
